pickup_hour,cash_rate,trips
0,0.11248916449956659,74985
1,0.10720052999875782,48302
2,0.10640063846767757,31325
3,0.12076016357950445,20785
4,0.14167294649585532,14597
5,0.16786383510306058,19212
6,0.1360804269579248,40285
7,0.10964404390293021,79448
8,0.09721713992974239,109312
9,0.11304006284367636,127300
10,0.12971124026881836,140913
11,0.13209040941213115,154099
12,0.13300979109107652,165048
13,0.13364141343415956,171384
14,0.13150346033675633,187554
15,0.125521293423999,194708
16,0.11808730746634652,195745
17,0.10828431118176801,211979
18,0.10552501143459876,214262
19,0.10292473371388218,186923
20,0.10499110549422905,166957
21,0.10150521253737452,175922
22,0.1004737085344562,155792
23,0.10850033341522479,113972
